English	Fulfulde	French
Conversation 	Gewta	Conversation
Who is that?	Ɗum moyjo?	Qui est-ce ?
What type of person is that?	Ɗum moyjo?	Quel type de personne est-ce ?
It is Buuba.	Ɗum Buuba.	C'est Buuba.
It is a man.	Ɗum gorko.	C'est un homme.
It is a woman.	Ɗum debbo.	C'est une femme.
Buuba is Fulani.	Buuba pullo.	Buuba est Peul.
Haoua is Fulani.	Haoua ɗum pullo.	Haoua est Peule.
Woman	Debbo	Femme
Wife	Debbo	Épouse
Child	Ɓingel	Enfant
Offspring	Ɓii	Descendance
Offspring	Ɓiɗɗo	Descendance
It is Ba's child.	Ɗum ɓii Ba.	C'est l'enfant de Ba.
It is a teacher.	Ɗum mallumjo.	C'est un enseignant.
It is a teacher.	Ɗum janginoowo.	C'est une enseignante.
Who is it?	Ɗum moy?	Qui est-ce ?
Zeynabu's husband.	Gorko Zeynabu.	Le mari de Zeynabu.
Usmanu is whose child?	Usmanu ɓii moy?	Usmanu est l'enfant de qui ?
Ali is whose father?	Ali is whose father?	Ali est le pere de qui?
Hello!	Sannu!	Bonjour !
Usmanu is the child of Ali and Zeynabu.	Usmanu ɓii Ali bee Zeynabu.	Usmanu est l'enfant d'Ali et de Zeynabu.
Where is Buuba's compound?	Toy saare Buuba?	Où est la concession de Buuba ?
Here is his house.	Ndaa saare maako.	Voici sa maison.
Whose chair is this?	Ɗum koroowal moy?	À qui est cette chaise ?
It is my book.	Ɗum deftere am.	C'est mon livre.
Hi to you.	Sannu maa.	Salut à toi.
Thanks.	Useko.	Merci.
Hi to you.	Sannu maaɗa.	Salut à toi.
Hi to you all.	Sannu mo'on.	Salut à vous tous.
Welcome.	Jaɓɓaama.	Bienvenue.
I accept the welcome.	Mi jaɓi.	J'accepte le bienvenue.
Good morning.	A waali jam?	Bonjour.
You slept well?	A waali jam?	Tu as bien dormi ?
Fine.	Jam.	Bien.
All is fine.	Jam kooɗume.	Tout va bien.
Fine for the moment.	Jam tawon.	Bien pour le moment.
Fine for the moment.	Jam ni tawon	Bien pour le moment.
Good afternoon.	A nyalli jam?	Bon après-midi.
You spent the morning well?	A ñalli jam?	Tu as bien passé la matinée ?
Good evening.	A hirti jam?	Bonsoir.
You spending the evening well?	A hirti jam?	Tu passes bien la soirée ?
Peace be with you.	Salaamu aleykum.	Que la paix soit avec toi.
Peace be with you too.	Aleykum salaam.	Que la paix soit avec toi aussi.
Have you arrived?	A wari naa?	Tu es arrivé ?
Come on in.	Yottu danki	Entre.
Have you arrived well?	A wari jam?	Tu es bien arrivé ?
I arrived.	Mi wari.	Je suis arrivé.
Have you returned?	A warti naa?	Tu es revenu ?
I have returned?	Mi warti.	Je suis revenu.
How is the household?	Noy saare?	Comment va la maison ?
How is your household?	Noy saare mooɗon?	Comment va ta maison ?
The household is all well.	Saare fuh jam 	La maison va bien.
The household is all well.	Saare fuh yamre	La maison va bien.
Okay.	Too.	D'accord.
Good.	Boɗɗum.	Bien.
See you soon.	Sey yeeso.	À bientôt.
Until tomorrow.	Sey jango.	À demain.
Until another time 	Sey wakkati feere.	À une autre fois.
Rest well.	Siwtu jam.	Repose-toi bien.
Sleep well.	Waalu jam.	Dors bien.
Good night.	Jam waala.	Bonne nuit.
May God give us a good sleep.	Allah wallin en jam.	Que Dieu nous accorde un bon sommeil.
Return well.	Wartu jam.	Reviens bien.
I understand	Mi nani.	Je comprends.
I thank you	Mi yetti.	Je te remercie.
You all are going home.	On hooti.	Vous rentrez tous chez vous.
You are going home.	A hooti.	Tu rentres chez toi.
I am going home.	Mi huuci.	Je rentre chez moi.
I am going home.	Mi hooti.	Je rentre chez moi.
We are grateful.	Min yetti	Nous sommes reconnaissants.
I am grateful.	Mi yetti.	Je suis reconnaissant.
May God give her good luck.	Allah hokku mo saa'a.	Que Dieu lui accorde de la chance.
May God give you health.	Allah hokku maa jam.	Que Dieu te donne la santé.
May God you all health.	Allah hokku on jam.	Que Dieu vous donne à tous la santé.
